Kickstart_Version;Kickstart_VersionFriendlyName;InstallSequence;ADF_Name;FriendlyName;AmigaFiletoInstall;DrivetoInstall;LocationtoInstall;NewFileName;ExcludedFolders;ExcludedFiles;Uncompress;ModifyScript;ScriptNameofChange;ScriptInjectionStartPoint;ScriptInjectionEndPoint;ModifyInfoFileTooltype
3.2;3.2.2.1;1;LocaleIT3_2;LocaleIT 3.2;*;System;Locale;;;Disk.info;TRUE;FALSE;;;;FALSE
3.2;3.2.2.1;1;LocaleNL3_2;LocaleNL 3.2;*;System;Locale;;;Disk.info;TRUE;FALSE;;;;FALSE
;;;LocaleNO3_2;LocaleNO 3.2;*;System;Locale;;;Disk.info;TRUE;FALSE;;;;FALSE
;;;LocalePL3_2;LocalePL 3.2;*;System;Locale;;;Disk.info;TRUE;FALSE;;;;FALSE
;;;LocalePT3_2;LocalePT 3.2;*;System;Locale;;;Disk.info;TRUE;FALSE;;;;FALSE
;;;LocaleRU3_2;LocaleRU 3.2;*;System;Locale;;;Disk.info;TRUE;FALSE;;;;FALSE
;;;LocaleSE3_2;LocaleSE 3.2;*;System;Locale;;;Disk.info;TRUE;FALSE;;;;FALSE
;;;LocaleTR3_2;LocaleTR 3.2;*;System;Locale;;;Disk.info;TRUE;FALSE;;;;FALSE
3.2;3.2.2.1;1;LocaleUK3_2;LocaleUK 3.2;*;System;Locale;;;Disk.info;TRUE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Extras3_2;Extras 3.2;*;System;;;;Disk.info;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Classes3_2;Classes 3.2;*;System;;;;Disk.info;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Fonts3_2;Fonts 3.2;*;System;Fonts;;;Disk.info;FALSE;FALSE;;;;FALSE
;;;Storage3_2;Storage 3.2;DataTypes;System;Storage;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Storage3_2;Storage 3.2;DOSDrivers;System;Storage/DosDrivers;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Storage3_2;Storage 3.2;KeyMaps;System;Storage/KeyMaps;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Storage3_2;Storage 3.2;Monitors;System;Storage/Monitors;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Storage3_2;Storage 3.2;Printers;System;Storage/Printers;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Storage3_2;Storage 3.2;DOSDrivers.info;System;Storage;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Storage3_2;Storage 3.2;KeyMaps.info;System;Storage;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Storage3_2;Storage 3.2;Monitors.info;System;Storage;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Storage3_2;Storage 3.2;Printers.info;System;Storage;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Storage3_2;Storage 3.2;Classes/DataTypes;System;Classes/DataTypes;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Storage3_2;Storage 3.2;C;System;C;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Storage3_2;Storage 3.2;Presets/Pointers;System;Prefs/Presets/Pointers;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Storage3_2;Storage 3.2;Monitors;System;Storage/Monitors;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Storage3_2;Storage 3.2;DOSDrivers;System;Storage/DOSDrivers;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Storage3_2;Storage 3.2;WBStartup;System;WBStartup;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Storage3_2;Storage 3.2;DefIcons;System;Prefs/Env-Archive/Sys;;;;FALSE;FALSE;;;;FALSE
3.2;3.2.2.1;1;Storage3_2;Storage 3.2;Env-Archive/deficons.prefs;System;Prefs/Env-Archive/Sys;;;;FALSE;FALSE;;;;FALSE
